case_id,scenario,target_size,algorithm,run_index,is_warmup,time_ms
motif_7_n100,conserved_motif,100,CPython,0,True,1.8004
motif_7_n100,conserved_motif,100,CPython,1,True,1.7661
motif_7_n100,conserved_motif,100,CPython,2,False,2.1353
motif_7_n100,conserved_motif,100,CPython,3,False,2.2677
motif_7_n100,conserved_motif,100,CPython,4,False,1.7298
motif_7_n100,conserved_motif,100,CPython,5,False,1.7307
motif_7_n100,conserved_motif,100,CPython,6,False,1.803
motif_7_n100,conserved_motif,100,CPython,7,False,1.6858
motif_7_n100,conserved_motif,100,CPython,8,False,1.6803
motif_7_n100,conserved_motif,100,CPython,9,False,1.7036
motif_7_n100,conserved_motif,100,CPython,10,False,1.6764
motif_7_n100,conserved_motif,100,CPython,11,False,2.0411
motif_8_n100,conserved_motif,100,CPython,0,True,2.4025
motif_8_n100,conserved_motif,100,CPython,1,True,1.6887
motif_8_n100,conserved_motif,100,CPython,2,False,1.6713
motif_8_n100,conserved_motif,100,CPython,3,False,1.6711
motif_8_n100,conserved_motif,100,CPython,4,False,1.6705
motif_8_n100,conserved_motif,100,CPython,5,False,1.6672
motif_8_n100,conserved_motif,100,CPython,6,False,1.6752
motif_8_n100,conserved_motif,100,CPython,7,False,1.7007
motif_8_n100,conserved_motif,100,CPython,8,False,1.815
motif_8_n100,conserved_motif,100,CPython,9,False,1.8315
motif_8_n100,conserved_motif,100,CPython,10,False,1.7414
motif_8_n100,conserved_motif,100,CPython,11,False,1.719
motif_9_n100,conserved_motif,100,CPython,0,True,1.7679
motif_9_n100,conserved_motif,100,CPython,1,True,1.773
motif_9_n100,conserved_motif,100,CPython,2,False,1.7343
motif_9_n100,conserved_motif,100,CPython,3,False,1.8061
motif_9_n100,conserved_motif,100,CPython,4,False,1.8165
motif_9_n100,conserved_motif,100,CPython,5,False,1.7939
motif_9_n100,conserved_motif,100,CPython,6,False,2.4093
motif_9_n100,conserved_motif,100,CPython,7,False,1.8169
motif_9_n100,conserved_motif,100,CPython,8,False,1.6824
motif_9_n100,conserved_motif,100,CPython,9,False,1.6753
motif_9_n100,conserved_motif,100,CPython,10,False,1.6897
motif_9_n100,conserved_motif,100,CPython,11,False,1.6753
contained_0_n100,contained_fragment,100,CPython,0,True,0.9059
contained_0_n100,contained_fragment,100,CPython,1,True,0.9064
contained_0_n100,contained_fragment,100,CPython,2,False,0.9291
contained_0_n100,contained_fragment,100,CPython,3,False,0.9029
contained_0_n100,contained_fragment,100,CPython,4,False,0.8985
contained_0_n100,contained_fragment,100,CPython,5,False,0.9033
contained_0_n100,contained_fragment,100,CPython,6,False,1.1348
contained_0_n100,contained_fragment,100,CPython,7,False,1.2763
contained_0_n100,contained_fragment,100,CPython,8,False,0.9809
contained_0_n100,contained_fragment,100,CPython,9,False,0.9022
contained_0_n100,contained_fragment,100,CPython,10,False,0.9067
contained_0_n100,contained_fragment,100,CPython,11,False,0.8989
contained_1_n100,contained_fragment,100,CPython,0,True,0.9085
contained_1_n100,contained_fragment,100,CPython,1,True,0.8986
contained_1_n100,contained_fragment,100,CPython,2,False,0.9106
contained_1_n100,contained_fragment,100,CPython,3,False,0.9046
contained_1_n100,contained_fragment,100,CPython,4,False,0.9008
contained_1_n100,contained_fragment,100,CPython,5,False,0.9028
contained_1_n100,contained_fragment,100,CPython,6,False,0.899
contained_1_n100,contained_fragment,100,CPython,7,False,0.933
contained_1_n100,contained_fragment,100,CPython,8,False,0.9008
contained_1_n100,contained_fragment,100,CPython,9,False,0.9039
contained_1_n100,contained_fragment,100,CPython,10,False,0.8999
contained_1_n100,contained_fragment,100,CPython,11,False,0.9043
contained_2_n100,contained_fragment,100,CPython,0,True,1.2623
contained_2_n100,contained_fragment,100,CPython,1,True,1.0312
contained_2_n100,contained_fragment,100,CPython,2,False,1.1093
contained_2_n100,contained_fragment,100,CPython,3,False,0.9098
contained_2_n100,contained_fragment,100,CPython,4,False,0.9142
contained_2_n100,contained_fragment,100,CPython,5,False,0.9042
contained_2_n100,contained_fragment,100,CPython,6,False,0.9131
contained_2_n100,contained_fragment,100,CPython,7,False,0.9025
contained_2_n100,contained_fragment,100,CPython,8,False,0.9065
contained_2_n100,contained_fragment,100,CPython,9,False,0.9013
contained_2_n100,contained_fragment,100,CPython,10,False,0.9057
contained_2_n100,contained_fragment,100,CPython,11,False,0.9021
contained_3_n100,contained_fragment,100,CPython,0,True,0.974
contained_3_n100,contained_fragment,100,CPython,1,True,0.9046
contained_3_n100,contained_fragment,100,CPython,2,False,0.9008
contained_3_n100,contained_fragment,100,CPython,3,False,0.906
contained_3_n100,contained_fragment,100,CPython,4,False,0.9049
contained_3_n100,contained_fragment,100,CPython,5,False,1.1093
contained_3_n100,contained_fragment,100,CPython,6,False,0.9737
contained_3_n100,contained_fragment,100,CPython,7,False,1.0368
contained_3_n100,contained_fragment,100,CPython,8,False,0.9424
contained_3_n100,contained_fragment,100,CPython,9,False,0.9163
contained_3_n100,contained_fragment,100,CPython,10,False,0.9368
contained_3_n100,contained_fragment,100,CPython,11,False,1.2411
contained_4_n100,contained_fragment,100,CPython,0,True,1.0413
contained_4_n100,contained_fragment,100,CPython,1,True,0.9252
contained_4_n100,contained_fragment,100,CPython,2,False,0.9093
contained_4_n100,contained_fragment,100,CPython,3,False,0.9661
contained_4_n100,contained_fragment,100,CPython,4,False,1.0613
contained_4_n100,contained_fragment,100,CPython,5,False,0.9641
contained_4_n100,contained_fragment,100,CPython,6,False,0.9796
contained_4_n100,contained_fragment,100,CPython,7,False,0.9817
contained_4_n100,contained_fragment,100,CPython,8,False,0.9777
contained_4_n100,contained_fragment,100,CPython,9,False,1.0419
contained_4_n100,contained_fragment,100,CPython,10,False,1.4428
contained_4_n100,contained_fragment,100,CPython,11,False,1.2737
contained_5_n100,contained_fragment,100,CPython,0,True,0.9136
contained_5_n100,contained_fragment,100,CPython,1,True,0.9107
contained_5_n100,contained_fragment,100,CPython,2,False,0.9021
contained_5_n100,contained_fragment,100,CPython,3,False,0.9022
contained_5_n100,contained_fragment,100,CPython,4,False,0.9075
contained_5_n100,contained_fragment,100,CPython,5,False,0.9079
contained_5_n100,contained_fragment,100,CPython,6,False,0.9099
